Название	Год	Ссылка	Оценка
Отпетые мошенники	2008	http://www.kinopoisk.ru/film/309402/	8
Пираты Карибского моря: На странных берегах	2011	http://www.kinopoisk.ru/film/427076/	8
Чего хотят женщины	2000	http://www.kinopoisk.ru/film/880/	8
}{отт@бь)ч	2006	https://www.kinopoisk.ru/film/161085/	8
Воздушная тюрьма	1997	http://www.kinopoisk.ru/film/6113/	8
Кошмар на улице Вязов 4: Повелитель снов	1988	http://www.kinopoisk.ru/film/12524/	8
Ежик в тумане	1975	http://www.kinopoisk.ru/film/42461/	8
Гарри Поттер и Дары смерти: Часть 1	2010	http://www.kinopoisk.ru/film/276762/	8
Смокинг	2002	http://www.kinopoisk.ru/film/2930/	8
Сумасшедшая езда	2010	http://www.kinopoisk.ru/film/481523/	8
Глубокое синее море	1999	http://www.kinopoisk.ru/film/9528/	8
Трансформеры	2007	http://www.kinopoisk.ru/film/81288/	8
Вокруг света за 80 дней	2004	http://www.kinopoisk.ru/film/6297/	8
Люди Икс: Первый класс	2011	http://www.kinopoisk.ru/film/462358/	8
12 раундов	2009	http://www.kinopoisk.ru/film/404891/	8
Трансформеры 3: Тёмная сторона Луны	2011	http://www.kinopoisk.ru/film/452899/	8
Смерч	1996	http://www.kinopoisk.ru/film/1722/	8
Добро пожаловать в Zомбилэнд	2009	http://www.kinopoisk.ru/film/427122/	8
Я – Четвертый	2011	http://www.kinopoisk.ru/film/468872/	8
Миссия невыполнима 2	2000	http://www.kinopoisk.ru/film/3447/	8
Терминатор: Да придёт спаситель	2009	http://www.kinopoisk.ru/film/160932/	8
Идентификация Борна	2002	http://www.kinopoisk.ru/film/619/	8
Операция «Ы» и другие приключения Шурика	1965	http://www.kinopoisk.ru/film/42782/	8
Новейший завет	2015	http://www.kinopoisk.ru/film/840470/	8
Эффект бабочки 2	2006	http://www.kinopoisk.ru/film/197258/	8
Социальная сеть	2010	http://www.kinopoisk.ru/film/427198/	8
Санктум	2010	http://www.kinopoisk.ru/film/462669/	8
Вспомнить все	1990	http://www.kinopoisk.ru/film/2443/	8
Орел Девятого легиона	2010	http://www.kinopoisk.ru/film/455353/	8
Стой! Или моя мама будет стрелять	1992	http://www.kinopoisk.ru/film/9556/	8
Крепкий орешек 2	1990	http://www.kinopoisk.ru/film/7374/	8
Ангелы и Демоны	2009	http://www.kinopoisk.ru/film/257401/	8
Последний охотник на ведьм	2015	http://www.kinopoisk.ru/film/506066/	8
Темный рыцарь	2008	http://www.kinopoisk.ru/film/111543/	8
Мальчишник 2: Из Вегаса в Бангкок	2011	http://www.kinopoisk.ru/film/455338/	8
Достучаться до небес	1997	http://www.kinopoisk.ru/film/32898/	8
Эффект бабочки 3	2008	http://www.kinopoisk.ru/film/416537/	8
Женщина-Кошка	2004	http://www.kinopoisk.ru/film/3523/	8
Неудержимые 3	2014	http://www.kinopoisk.ru/film/696813/	8
Дивергент	2014	http://www.kinopoisk.ru/film/582101/	8
Напролом	2011	http://www.kinopoisk.ru/film/496888/	8
Сорвиголова	2003	http://www.kinopoisk.ru/film/648/	8
